pollutant;metric;vehicle_model_year;vehicle_type;vehicle_fuel_type;emission;unit;n;standarderror;nox_emission_threshold_g_per_kg_fuel;source
NOx;Mittelwert;2013;passenger car;gasoline;1.1340420531406128;g/kg fuel;13268;0.040334824207231286;1;Kanton Zürich/AWEL
NOx;Mittelwert;2013;passenger car;diesel;12.965473497013;g/kg fuel;10836;0.11311244498772371;1.6;Kanton Zürich/AWEL
NOx;Mittelwert;2013;light duty vehicle;gasoline;2.1137877372000524;g/kg fuel;523;0.2974041911124047;1;Kanton Zürich/AWEL
NOx;Mittelwert;2013;light duty vehicle;diesel;22.503958962668854;g/kg fuel;4137;0.23257110666625275;1.6;Kanton Zürich/AWEL
NOx;Mittelwert;2014;passenger car;gasoline;1.3867671071335343;g/kg fuel;8122;0.06643989844092406;1;Kanton Zürich/AWEL
NOx;Mittelwert;2014;passenger car;diesel;10.993674648393851;g/kg fuel;5610;0.1587111916536379;1.6;Kanton Zürich/AWEL
NOx;Mittelwert;2014;light duty vehicle;gasoline;5.125691673819551;g/kg fuel;162;1.0718184072451766;1;Kanton Zürich/AWEL
NOx;Mittelwert;2014;light duty vehicle;diesel;26.175859997502197;g/kg fuel;2521;0.3114169546767536;1.6;Kanton Zürich/AWEL
NOx;Mittelwert;2015;passenger car;gasoline;0.9936840007005423;g/kg fuel;14018;0.034608435780933325;1;Kanton Zürich/AWEL
NOx;Mittelwert;2015;passenger car;diesel;8.659560127881443;g/kg fuel;12485;0.09565772572007938;1.6;Kanton Zürich/AWEL
NOx;Mittelwert;2015;light duty vehicle;gasoline;1.791626869166749;g/kg fuel;586;0.23578607940203597;1;Kanton Zürich/AWEL
NOx;Mittelwert;2015;light duty vehicle;diesel;14.042826743355315;g/kg fuel;2335;0.31677943076672843;1.6;Kanton Zürich/AWEL
NOx;Mittelwert;2016;passenger car;gasoline;0.8718802894494464;g/kg fuel;6749;0.04362187794829135;1;Kanton Zürich/AWEL
NOx;Mittelwert;2016;passenger car;diesel;7.433547551159057;g/kg fuel;6786;0.12195461453724527;1.6;Kanton Zürich/AWEL
NOx;Mittelwert;2016;light duty vehicle;gasoline;1.8282077477781866;g/kg fuel;179;0.4666785230316173;1;Kanton Zürich/AWEL
NOx;Mittelwert;2016;light duty vehicle;diesel;7.32605713935207;g/kg fuel;4800;0.15041792088099493;1.6;Kanton Zürich/AWEL
NOx;Mittelwert;2017;passenger car;gasoline;0.7646139477357589;g/kg fuel;4607;0.04785676281997964;1;Kanton Zürich/AWEL
NOx;Mittelwert;2017;passenger car;diesel;6.3519935949270145;g/kg fuel;3023;0.14442001315835803;1.6;Kanton Zürich/AWEL
NOx;Mittelwert;2017;light duty vehicle;gasoline;0.8529805804217603;g/kg fuel;92;0.2848113505922574;1;Kanton Zürich/AWEL
NOx;Mittelwert;2017;light duty vehicle;diesel;5.223486969352451;g/kg fuel;685;0.36658678780562504;1.6;Kanton Zürich/AWEL
NOx;Mittelwert;2018;passenger car;gasoline;0.523177162250121;g/kg fuel;5220;0.04255795084098531;1;Kanton Zürich/AWEL
