year;site;site_long;siteclass;ecosystem_category;component;metric;deposition;unit;source;critical_load_min;critical_load_single;critical_load_max;estimate
2019;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;N-Deposition;Jahreseintrag;22.20502241;kg-N/ha/a;Ostluft;15;15;25;gemessen
2019;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NOx-Quellen;Jahreseintrag;6.603465764;kg-N/ha/a;Ostluft;5;10;20;NA
2019;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NH3-Quellen;Jahreseintrag;27.905847553999998;kg-N/ha/a;Ostluft;5;10;20;NA
2019;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;N-Deposition;Jahreseintrag;34.50931332;kg-N/ha/a;Ostluft;5;10;20;gemessen
2019;TAB;Tablat-Risihölzli;mittel;Trockenrasen;aus NOx-Quellen;Jahreseintrag;5.156721989;kg-N/ha/a;Ostluft;15;15;25;NA
2019;TAB;Tablat-Risihölzli;mittel;Trockenrasen;aus NH3-Quellen;Jahreseintrag;12.471131434;kg-N/ha/a;Ostluft;15;15;25;NA
2019;TAB;Tablat-Risihölzli;mittel;Trockenrasen;N-Deposition;Jahreseintrag;17.62785342;kg-N/ha/a;Ostluft;15;15;25;gemessen
2019;TAB;Tablat-Risihölzli;mittel;Wald;aus NOx-Quellen;Jahreseintrag;6.634431331;kg-N/ha/a;Ostluft;5;10;20;NA
2019;TAB;Tablat-Risihölzli;mittel;Wald;aus NH3-Quellen;Jahreseintrag;20.246934078;kg-N/ha/a;Ostluft;5;10;20;NA
2019;TAB;Tablat-Risihölzli;mittel;Wald;N-Deposition;Jahreseintrag;26.88136541;kg-N/ha/a;Ostluft;5;10;20;gemessen
2020;AEG;Knonau-Ägelsee;hoch;Hochmoor;aus NOx-Quellen;Jahreseintrag;4.955512359;kg-N/ha/a;Ostluft;5;5;10;NA
2020;AEG;Knonau-Ägelsee;hoch;Hochmoor;aus NH3-Quellen;Jahreseintrag;18.987390665;kg-N/ha/a;Ostluft;5;5;10;NA
2020;AEG;Knonau-Ägelsee;hoch;Hochmoor;N-Deposition;Jahreseintrag;23.94290303;kg-N/ha/a;Ostluft;5;5;10;geschätzt
2020;AEG;Knonau-Ägelsee;hoch;Wald;aus NOx-Quellen;Jahreseintrag;7.074133848;kg-N/ha/a;Ostluft;5;10;20;NA
2020;AEG;Knonau-Ägelsee;hoch;Wald;aus NH3-Quellen;Jahreseintrag;23.173696487;kg-N/ha/a;Ostluft;5;10;20;NA
2020;AEG;Knonau-Ägelsee;hoch;Wald;N-Deposition;Jahreseintrag;30.24783033;kg-N/ha/a;Ostluft;5;10;20;geschätzt
2020;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NOx-Quellen;Jahreseintrag;4.379869707999999;kg-N/ha/a;Ostluft;15;15;25;NA
2020;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NH3-Quellen;Jahreseintrag;14.286637425;kg-N/ha/a;Ostluft;15;15;25;NA
2020;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;N-Deposition;Jahreseintrag;18.66650713;kg-N/ha/a;Ostluft;15;15;25;geschätzt
2020;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NOx-Quellen;Jahreseintrag;5.2930439389999995;kg-N/ha/a;Ostluft;5;10;20;NA
2020;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NH3-Quellen;Jahreseintrag;23.951188803999997;kg-N/ha/a;Ostluft;5;10;20;NA
2020;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;N-Deposition;Jahreseintrag;29.24423274;kg-N/ha/a;Ostluft;5;10;20;geschätzt
2020;TAB;Tablat-Risihölzli;mittel;Trockenrasen;aus NOx-Quellen;Jahreseintrag;4.858442971;kg-N/ha/a;Ostluft;15;15;25;NA
2020;TAB;Tablat-Risihölzli;mittel;Trockenrasen;aus NH3-Quellen;Jahreseintrag;12.443610550999999;kg-N/ha/a;Ostluft;15;15;25;NA
2020;TAB;Tablat-Risihölzli;mittel;Trockenrasen;N-Deposition;Jahreseintrag;17.30205352;kg-N/ha/a;Ostluft;15;15;25;geschätzt
2020;TAB;Tablat-Risihölzli;mittel;Wald;aus NOx-Quellen;Jahreseintrag;6.6721478020000005;kg-N/ha/a;Ostluft;5;10;20;NA
2020;TAB;Tablat-Risihölzli;mittel;Wald;aus NH3-Quellen;Jahreseintrag;20.616452892999998;kg-N/ha/a;Ostluft;5;10;20;NA
2020;TAB;Tablat-Risihölzli;mittel;Wald;N-Deposition;Jahreseintrag;27.2886007;kg-N/ha/a;Ostluft;5;10;20;geschätzt
2021;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NOx-Quellen;Jahreseintrag;4.543817761000001;kg-N/ha/a;Ostluft;15;15;25;NA
2021;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NH3-Quellen;Jahreseintrag;12.672709023;kg-N/ha/a;Ostluft;15;15;25;NA
2021;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;N-Deposition;Jahreseintrag;17.21652678;kg-N/ha/a;Ostluft;15;15;25;gemessen
2021;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NOx-Quellen;Jahreseintrag;5.503454389;kg-N/ha/a;Ostluft;5;10;20;NA
2021;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NH3-Quellen;Jahreseintrag;20.439211109000002;kg-N/ha/a;Ostluft;5;10;20;NA
2021;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;N-Deposition;Jahreseintrag;25.9426655;kg-N/ha/a;Ostluft;5;10;20;gemessen
2021;NET;Neerach-Turpenlöcher;mittel;Flachmoor;aus NOx-Quellen;Jahreseintrag;5.444578218;kg-N/ha/a;Ostluft;15;15;30;NA
2021;NET;Neerach-Turpenlöcher;mittel;Flachmoor;aus NH3-Quellen;Jahreseintrag;18.315783025000002;kg-N/ha/a;Ostluft;15;15;30;NA
2021;NET;Neerach-Turpenlöcher;mittel;Flachmoor;N-Deposition;Jahreseintrag;23.76036124;kg-N/ha/a;Ostluft;15;15;30;geschätzt
2021;OSD;Ossingen-Dachsenhuserriet;mittel;Flachmoor;aus NOx-Quellen;Jahreseintrag;5.135216847;kg-N/ha/a;Ostluft;15;15;25;NA
2021;OSD;Ossingen-Dachsenhuserriet;mittel;Flachmoor;aus NH3-Quellen;Jahreseintrag;14.596189676;kg-N/ha/a;Ostluft;15;15;25;NA
2021;OSD;Ossingen-Dachsenhuserriet;mittel;Flachmoor;N-Deposition;Jahreseintrag;19.73140652;kg-N/ha/a;Ostluft;15;15;25;geschätzt
2021;OSD;Ossingen-Dachsenhuserriet;mittel;Wald;aus NOx-Quellen;Jahreseintrag;7.394963441;kg-N/ha/a;Ostluft;5;10;20;NA
2021;OSD;Ossingen-Dachsenhuserriet;mittel;Wald;aus NH3-Quellen;Jahreseintrag;17.617248893;kg-N/ha/a;Ostluft;5;10;20;NA
2021;OSD;Ossingen-Dachsenhuserriet;mittel;Wald;N-Deposition;Jahreseintrag;25.01221234;kg-N/ha/a;Ostluft;5;10;20;geschätzt
2021;WAB;Wasterkingen-Büelhalden;mittel;Trockenrasen;aus NOx-Quellen;Jahreseintrag;4.831286298;kg-N/ha/a;Ostluft;15;15;25;NA
2021;WAB;Wasterkingen-Büelhalden;mittel;Trockenrasen;aus NH3-Quellen;Jahreseintrag;10.456337505;kg-N/ha/a;Ostluft;15;15;25;NA
2021;WAB;Wasterkingen-Büelhalden;mittel;Trockenrasen;N-Deposition;Jahreseintrag;15.2876238;kg-N/ha/a;Ostluft;15;15;25;geschätzt
2021;WAB;Wasterkingen-Büelhalden;mittel;Wald;aus NOx-Quellen;Jahreseintrag;6.773480318000001;kg-N/ha/a;Ostluft;5;10;20;NA
