year;site;canton;x;y;masl;ecosys;cln;siteclass;emissionclass;pollutant;metric;parameter;deposition;unit;part_est;source_cat;sampling;datasource;source
2025;AEG;ZH;2675521;1232695;447;Hochmoor;5;hoch;hoch;Ndep;Jahressumme;NH4-N_adep;0.29298863467749603;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_conc).2026-04-30;Ostluft;Ostluft
2025;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH3-N_gdep;6.145255146213765;kg/ha/a;2.800179211470688e-5;aus NH3-Quellen;PS;Ostluft;Ostluft
2025;NET;ZH;2678603;1262147;409;Flachmoor;15;mittel;mittel;Ndep;Jahressumme;HNO3-N_gdep;0.9586727378024102;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2025;OSD;ZH;2694191;1275542;410;Flachmoor;15;mittel;mittel;Ndep;Jahressumme;NH3-N_gdep;7.999656225778337;kg/ha/a;0;aus NH3-Quellen;PS;Ostluft;Ostluft
2025;OSD;ZH;2694191;1275542;410;Wald;6;mittel;mittel;Ndep;Jahressumme;NH3-N_gdep;10.666208301037782;kg/ha/a;0;aus NH3-Quellen;PS;Ostluft;Ostluft
2025;REC;ZH;2679042;1254381;438;Hochmoor;5;mittel;mittel;Ndep;Jahressumme;NO3-N_adep;0.20178966843659996;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_conc).2026-04-30;Ostluft;Ostluft
2001;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO2-N_gdep;1.6992851081606715;kg/ha/a;1;aus NOx-Quellen;Schätzung: y1 Bachtel Turm / 0.88;FUB;Ostluft
2003;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH4-N_adep;0.8953996485946526;kg/ha/a;0;aus NH3-Quellen;Denuder;FUB;Ostluft
2004;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO3-N_adep;0.7646962809599996;kg/ha/a;1;aus NOx-Quellen;Schätzwert y1 (Datenstand 2024);FUB;Ostluft
2010;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO2-N_gdep;0.8103689815116277;kg/ha/a;0;aus NOx-Quellen;PS;Ostluft;Ostluft
2010;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO3-N_adep;0.36221177376000074;kg/ha/a;1;aus NOx-Quellen;Schätzwert y1 (Datenstand 2024);FUB;Ostluft
2011;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO3-N_adep;0.41640723326910345;kg/ha/a;0;aus NOx-Quellen;Denuder;FUB;Ostluft
2012;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO2-N_gdep;0.7128081944659641;kg/ha/a;0;aus NOx-Quellen;PS;Ostluft;Ostluft
2014;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;NH4-N_adep;0.4215180063888002;kg/ha/a;1;aus NH3-Quellen;Schätzwert y1 (Datenstand 2024);FUB;Ostluft
2014;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NH3-N_gdep;8.12409550564974;kg/ha/a;0;aus NH3-Quellen;PS;Ostluft;Ostluft
2014;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NO3-N_adep;0.22762133708400104;kg/ha/a;1;aus NOx-Quellen;Schätzwert y1 (Datenstand 2024);FUB;Ostluft
2015;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;HNO3-N_gdep;1.1758927734276412;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2016;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NO2-N_gdep;6.180592512543262;kg/ha/a;0;aus NOx-Quellen;PS;Ostluft;Ostluft
2018;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;NO2-N_gdep;1.611249652173913;kg/ha/a;1;aus NOx-Quellen;Kurzeitbelastungskarte;Ostluft;Ostluft
2019;AEG;ZH;2675521;1232695;447;Wald;6;hoch;hoch;Ndep;Jahressumme;HNO3-N_gdep;1.2354472229806794;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2019;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;HNO3-N_gdep;0.6159328690930993;kg/ha/a;3.5468936678617613e-4;aus NOx-Quellen;Denuder;FUB;Ostluft
2019;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO2-N_gdep;0.5748711472875134;kg/ha/a;0;aus NOx-Quellen;PS;Ostluft;Ostluft
2019;OBI;ZH;2672488;1236902;383;Flachmoor;15;hoch;mittel;Ndep;Jahressumme;NH3-N_gdep;14.5279322938253;kg/ha/a;0.0015120967741935054;aus NH3-Quellen;PS;Ostluft;Ostluft
2019;TAB;ZH;2707669;1252229;646;Trockenrasen;10;mittel;mittel;Ndep;Jahressumme;NH4-N_adep;0.3495986166369945;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_conc).2026-04-30;Ostluft;Ostluft
2020;AEG;ZH;2675521;1232695;447;Wald;6;hoch;hoch;Ndep;Jahressumme;NO2-N_gdep;3.3340750434782613;kg/ha/a;1;aus NOx-Quellen;Kurzeitbelastungskarte;Ostluft;Ostluft
2020;OBI;ZH;2672488;1236902;383;Flachmoor;15;hoch;mittel;Ndep;Jahressumme;HNO3-N_gdep;0.9559443835070776;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2020;TAB;ZH;2707669;1252229;646;Wald;6;mittel;mittel;Ndep;Jahressumme;NO3-N_adep;0.5262616435866082;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_conc).2026-04-30;Ostluft;Ostluft
2021;OSD;ZH;2694191;1275542;410;Flachmoor;15;mittel;mittel;Ndep;Jahressumme;NH4-N_adep;0.27048153721909696;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_conc).2026-04-30;Ostluft;Ostluft
2021;OSD;ZH;2694191;1275542;410;Wald;6;mittel;mittel;Ndep;Jahressumme;NH4-N_adep;0.5409630744381939;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_conc).2026-04-30;Ostluft;Ostluft
2022;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH3-N_gdep;6.716425667494766;kg/ha/a;0;aus NH3-Quellen;PS;Ostluft;Ostluft
2022;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO2-N_gdep;1.0174051169197846;kg/ha/a;0;aus NOx-Quellen;PS;Ostluft;Ostluft
2022;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;NH4-N_adep;0.32758471272242057;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_conc).2026-04-30;Ostluft;Ostluft
2022;NET;ZH;2678603;1262147;409;Flachmoor;15;mittel;mittel;Ndep;Jahressumme;HNO3-N_gdep;1.0585594769318687;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2022;NET;ZH;2678603;1262147;409;Flachmoor;15;mittel;mittel;Ndep;Jahressumme;NO2-N_gdep;1.5836556521739131;kg/ha/a;1;aus NOx-Quellen;Kurzeitbelastungskarte;Ostluft;Ostluft
2022;ROPF;ZH;2701636;1244049;538;Hochmoor;5;mittel;tief;Ndep;Jahressumme;HNO3-N_gdep;0.9324849201493165;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2022;WIH;ZH;2693935;1261383;516;Wald;6;mittel;mittel;Ndep;Jahressumme;HNO3-N_gdep;1.4842283127454339;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2024;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO2-N_gdep;0.9606973475714571;kg/ha/a;0;aus NOx-Quellen;PS;Ostluft;Ostluft
2024;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;HNO3-N_gdep;0.8894430469600345;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2024;TAB;ZH;2707669;1252229;646;Wald;6;mittel;mittel;Ndep;Jahressumme;NO2-N_gdep;1.682036953075549;kg/ha/a;0.08333333333333337;aus NOx-Quellen;Kurzeitbelastungskarte, PS;Ostluft;Ostluft
2024;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NO3-N_adep;0.2231684430269886;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_conc).2026-04-30;Ostluft;Ostluft
2025;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO2-N_gdep;0.9884967072697356;kg/ha/a;0;aus NOx-Quellen;PS;Ostluft;Ostluft
2025;REC;ZH;2679042;1254381;438;Wald;6;mittel;mittel;Ndep;Jahressumme;NH4-N_adep;0.6753404437522278;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_conc).2026-04-30;Ostluft;Ostluft
2025;WAB;ZH;2677272;1271915;427;Trockenrasen;10;mittel;mittel;Ndep;Jahressumme;NH3-N_gdep;5.292311669423586;kg/ha/a;0.017295773596176844;aus NH3-Quellen;Gapfilling (Abdeckung ≥ 0.7), PS;Ostluft;Ostluft
2025;ZUK;ZH;2679889;1253923;439;Hochmoor;5;mittel;mittel;Ndep;Jahressumme;NO3-N_adep;0.21121711692594386;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_conc).2026-04-30;Ostluft;Ostluft
2001;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;HNO3-N_gdep;0.44075301002426304;kg/ha/a;0;aus NOx-Quellen;Denuder;FUB;Ostluft
2001;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH4-N_adep;1.6572353276913305;kg/ha/a;0;aus NH3-Quellen;Denuder;FUB;Ostluft
2006;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO2-N_gdep;1.8655554365159714;kg/ha/a;0;aus NOx-Quellen;PS;Ostluft;Ostluft
2007;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH4-N_adep;0.6730703696921363;kg/ha/a;0.09633487654320982;aus NH3-Quellen;Denuder, Gapfilling (Abdeckung ≥ 0.7);FUB, Ostluft;Ostluft
2009;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;HNO3-N_gdep;0.9167359096800003;kg/ha/a;1;aus NOx-Quellen;Schätzwert y1 (Datenstand 2024);FUB;Ostluft
2010;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH3-N_gdep;10.33933759267354;kg/ha/a;0;aus NH3-Quellen;PS;Ostluft;Ostluft
2012;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH3-N_gdep;10.453400867757665;kg/ha/a;0;aus NH3-Quellen;PS;Ostluft;Ostluft
2012;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO3-N_adep;0.6841508140800032;kg/ha/a;1;aus NOx-Quellen;Schätzwert y1 (Datenstand 2024);FUB;Ostluft
2012;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;HNO3-N_gdep;1.1295485640000087;kg/ha/a;1;aus NOx-Quellen;Schätzwert y1 (Datenstand 2024);FUB;Ostluft
2013;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO2-N_gdep;1.7924372077162722;kg/ha/a;0;aus NOx-Quellen;PS;Ostluft;Ostluft
2014;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;HNO3-N_gdep;0.8201812442080025;kg/ha/a;0.002845293209876587;aus NOx-Quellen;Denuder;FUB;Ostluft
2014;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO3-N_adep;0.5982466266607327;kg/ha/a;0.002845293209876587;aus NOx-Quellen;Denuder;FUB;Ostluft
2015;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;HNO3-N_gdep;0.7705835226459756;kg/ha/a;0;aus NOx-Quellen;Denuder;FUB;Ostluft
2016;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO3-N_adep;0.3078495597473746;kg/ha/a;2.800179211470688e-5;aus NOx-Quellen;Denuder;FUB;Ostluft
2017;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NH4-N_adep;0.6320849318208579;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_conc).2026-04-30;Ostluft;Ostluft
2018;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;HNO3-N_gdep;1.1012607016567524;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2018;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NO2-N_gdep;5.410023206120317;kg/ha/a;0.16964699074074074;aus NOx-Quellen;Kurzeitbelastungskarte, PS;Ostluft;Ostluft
2019;AEG;ZH;2675521;1232695;447;Hochmoor;5;hoch;hoch;Ndep;Jahressumme;NH4-N_adep;0.2998918802029189;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_conc).2026-04-30;Ostluft;Ostluft
2019;TAB;ZH;2707669;1252229;646;Trockenrasen;10;mittel;mittel;Ndep;Jahressumme;NH3-N_gdep;5.99053017432081;kg/ha/a;0;aus NH3-Quellen;PS;Ostluft;Ostluft
2019;TAB;ZH;2707669;1252229;646;Trockenrasen;10;mittel;mittel;Ndep;Jahressumme;NO2-N_gdep;0.8835972944585471;kg/ha/a;0.08333333333333337;aus NOx-Quellen;Kurzeitbelastungskarte, PS;Ostluft;Ostluft
2020;AEG;ZH;2675521;1232695;447;Hochmoor;5;hoch;hoch;Ndep;Jahressumme;HNO3-N_gdep;0.9243481122517662;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2020;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;NH4-N_adep;0.3108680559244731;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_conc).2026-04-30;Ostluft;Ostluft
2020;ROPF;ZH;2701636;1244049;538;Hochmoor;5;mittel;tief;Ndep;Jahressumme;NO2-N_gdep;1.407294;kg/ha/a;1;aus NOx-Quellen;Kurzeitbelastungskarte;Ostluft;Ostluft
2021;AEG;ZH;2675521;1232695;447;Hochmoor;5;hoch;hoch;Ndep;Jahressumme;NH3-N_gdep;6.973372906801986;kg/ha/a;0.10673225308641976;aus NH3-Quellen;Gapfilling (Abdeckung ≥ 0.7), PS;Ostluft;Ostluft
2021;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;HNO3-N_gdep;0.4661851479706299;kg/ha/a;0.08755787037037033;aus NOx-Quellen;Denuder, GAM.log(HNO3N_conc).2026-04-30;FUB, Ostluft;Ostluft
2021;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH3-N_gdep;10.34534992435036;kg/ha/a;0;aus NH3-Quellen;PS;Ostluft;Ostluft
2021;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO3-N_adep;0.2355978877900386;kg/ha/a;0.08755787037037033;aus NOx-Quellen;Denuder, GAM.log(NO3-N_conc).2026-04-30;FUB, Ostluft;Ostluft
2021;OBI;ZH;2672488;1236902;383;Flachmoor;15;hoch;mittel;Ndep;Jahressumme;NO2-N_gdep;1.499673913043478;kg/ha/a;1;aus NOx-Quellen;Kurzeitbelastungskarte;Ostluft;Ostluft
2021;OSD;ZH;2694191;1275542;410;Flachmoor;15;mittel;mittel;Ndep;Jahressumme;HNO3-N_gdep;0.9130057038175065;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2021;OSD;ZH;2694191;1275542;410;Wald;6;mittel;mittel;Ndep;Jahressumme;HNO3-N_gdep;1.217340938423342;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2021;OSD;ZH;2694191;1275542;410;Flachmoor;15;mittel;mittel;Ndep;Jahressumme;NO2-N_gdep;1.533266608695652;kg/ha/a;1;aus NOx-Quellen;Kurzeitbelastungskarte;Ostluft;Ostluft
2021;OSD;ZH;2694191;1275542;410;Wald;6;mittel;mittel;Ndep;Jahressumme;NO2-N_gdep;3.5776220869565214;kg/ha/a;1;aus NOx-Quellen;Kurzeitbelastungskarte;Ostluft;Ostluft
2021;WAB;ZH;2677272;1271915;427;Trockenrasen;10;mittel;mittel;Ndep;Jahressumme;NO2-N_gdep;1.3041164347826086;kg/ha/a;1;aus NOx-Quellen;Kurzeitbelastungskarte;Ostluft;Ostluft
2021;WIH;ZH;2693935;1261383;516;Wald;6;mittel;mittel;Ndep;Jahressumme;NH4-N_adep;0.7757728339825357;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_conc).2026-04-30;Ostluft;Ostluft
2021;WIH;ZH;2693935;1261383;516;Trockenrasen;10;mittel;mittel;Ndep;Jahressumme;NO2-N_gdep;1.8427993043478261;kg/ha/a;1;aus NOx-Quellen;Kurzeitbelastungskarte;Ostluft;Ostluft
2021;WIH;ZH;2693935;1261383;516;Wald;6;mittel;mittel;Ndep;Jahressumme;NO3-N_adep;0.5247720835694933;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_conc).2026-04-30;Ostluft;Ostluft
2022;AEG;ZH;2675521;1232695;447;Hochmoor;5;hoch;hoch;Ndep;Jahressumme;NH3-N_gdep;6.752666222740263;kg/ha/a;0;aus NH3-Quellen;PS;Ostluft;Ostluft
2022;AEG;ZH;2675521;1232695;447;Wald;6;hoch;hoch;Ndep;Jahressumme;NO2-N_gdep;2.9597962404940983;kg/ha/a;0;aus NOx-Quellen;PS;Ostluft;Ostluft
2022;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO3-N_adep;0.22017069558633748;kg/ha/a;0;aus NOx-Quellen;Denuder;FUB;Ostluft
2022;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;NO2-N_gdep;1.198539391304348;kg/ha/a;1;aus NOx-Quellen;Kurzeitbelastungskarte;Ostluft;Ostluft
2022;ROPF;ZH;2701636;1244049;538;Hochmoor;5;mittel;tief;Ndep;Jahressumme;NO2-N_gdep;1.2993174782608692;kg/ha/a;1;aus NOx-Quellen;Kurzeitbelastungskarte;Ostluft;Ostluft
2022;TAB;ZH;2707669;1252229;646;Wald;6;mittel;mittel;Ndep;Jahressumme;NO2-N_gdep;2.4634643478260867;kg/ha/a;1;aus NOx-Quellen;Kurzeitbelastungskarte;Ostluft;Ostluft
2022;TAB;ZH;2707669;1252229;646;Trockenrasen;10;mittel;mittel;Ndep;Jahressumme;NO3-N_adep;0.2757298501516382;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_conc).2026-04-30;Ostluft;Ostluft
2023;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO2-N_gdep;0.41532622022461313;kg/ha/a;0;aus NOx-Quellen;PS;Ostluft;Ostluft
2023;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO3-N_adep;0.18918586009122382;kg/ha/a;0;aus NOx-Quellen;Denuder;FUB;Ostluft
2024;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH4-N_adep;0.3896319805752166;kg/ha/a;0;aus NH3-Quellen;Denuder;FUB;Ostluft
2024;BUE;ZH;2704475;1234943;494;Hochmoor;5;hoch;mittel;Ndep;Jahressumme;NH3-N_gdep;8.876360418553412;kg/ha/a;0.0063937425328554065;aus NH3-Quellen;PS;Ostluft;Ostluft
2024;BUE;ZH;2704475;1234943;494;Hochmoor;5;hoch;mittel;Ndep;Jahressumme;NO2-N_gdep;1.4324885217391305;kg/ha/a;1;aus NOx-Quellen;Kurzeitbelastungskarte;Ostluft;Ostluft
2024;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;NO3-N_adep;0.1960789401887912;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_conc).2026-04-30;Ostluft;Ostluft
2024;TAB;ZH;2707669;1252229;646;Wald;6;mittel;mittel;Ndep;Jahressumme;NH3-N_gdep;7.4154161061058534;kg/ha/a;0.006729764038231778;aus NH3-Quellen;PS;Ostluft;Ostluft
2025;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH3-N_gdep;10.242091910356278;kg/ha/a;2.800179211470688e-5;aus NH3-Quellen;PS;Ostluft;Ostluft
2025;OSD;ZH;2694191;1275542;410;Flachmoor;15;mittel;mittel;Ndep;Jahressumme;NO3-N_adep;0.16375016508215254;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_conc).2026-04-30;Ostluft;Ostluft
2025;OSD;ZH;2694191;1275542;410;Wald;6;mittel;mittel;Ndep;Jahressumme;NO3-N_adep;0.3275003301643051;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_conc).2026-04-30;Ostluft;Ostluft
2025;REC;ZH;2679042;1254381;438;Hochmoor;5;mittel;mittel;Ndep;Jahressumme;HNO3-N_gdep;1.0480806230428836;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2025;ROPF;ZH;2701636;1244049;538;Hochmoor;5;mittel;tief;Ndep;Jahressumme;NO3-N_adep;0.21301518266160022;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_conc).2026-04-30;Ostluft;Ostluft
2025;ZUK;ZH;2679889;1253923;439;Wald;6;mittel;mittel;Ndep;Jahressumme;HNO3-N_gdep;1.476285769149175;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2025;ZUK;ZH;2679889;1253923;439;Hochmoor;5;mittel;mittel;Ndep;Jahressumme;NH3-N_gdep;7.192110224274846;kg/ha/a;0.01504629629629628;aus NH3-Quellen;Gapfilling (Abdeckung ≥ 0.7), PS;Ostluft;Ostluft
2003;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;HNO3-N_gdep;1.2622977792000034;kg/ha/a;1;aus NOx-Quellen;Schätzwert y1 (Datenstand 2024);FUB;Ostluft
2004;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH3-N_gdep;8.643532927515238;kg/ha/a;0.002650836320191252;aus NH3-Quellen;PS;Ostluft;Ostluft
2005;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;HNO3-N_gdep;0.9467233344000026;kg/ha/a;1;aus NOx-Quellen;Schätzwert y1 (Datenstand 2024);FUB;Ostluft
2007;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;HNO3-N_gdep;0.9467233344000026;kg/ha/a;1;aus NOx-Quellen;Schätzwert y1 (Datenstand 2024);FUB;Ostluft
2008;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;HNO3-N_gdep;1.2869004814924168;kg/ha/a;0.0018947879330943884;aus NOx-Quellen;Denuder;FUB;Ostluft
2011;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO2-N_gdep;0.7607488583079303;kg/ha/a;0;aus NOx-Quellen;PS;Ostluft;Ostluft
2011;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NH3-N_gdep;10.675921650869418;kg/ha/a;0;aus NH3-Quellen;PS;Ostluft;Ostluft
2013;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH3-N_gdep;5.57357787590711;kg/ha/a;0;aus NH3-Quellen;PS;Ostluft;Ostluft
2013;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NH3-N_gdep;8.214547000020804;kg/ha/a;0;aus NH3-Quellen;PS;Ostluft;Ostluft
2014;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH4-N_adep;0.4213800631949214;kg/ha/a;0;aus NH3-Quellen;Denuder;FUB;Ostluft
2014;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;NO3-N_adep;0.2890516738392013;kg/ha/a;1;aus NOx-Quellen;Schätzwert y1 (Datenstand 2024);FUB;Ostluft
2016;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH4-N_adep;0.985433944081521;kg/ha/a;0;aus NH3-Quellen;Denuder;FUB;Ostluft
2016;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;NO2-N_gdep;1.7312235652173917;kg/ha/a;1;aus NOx-Quellen;Kurzeitbelastungskarte;Ostluft;Ostluft
2017;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;NH4-N_adep;0.37187310150941194;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_conc).2026-04-30;Ostluft;Ostluft
2017;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;HNO3-N_gdep;2.3463846778278867;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2018;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO2-N_gdep;1.5237304991358989;kg/ha/a;0;aus NOx-Quellen;PS;Ostluft;Ostluft
2019;AEG;ZH;2675521;1232695;447;Wald;6;hoch;hoch;Ndep;Jahressumme;NH3-N_gdep;11.216353134527692;kg/ha/a;0.0015867682198327238;aus NH3-Quellen;PS;Ostluft;Ostluft
2019;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH4-N_adep;0.7644195509883213;kg/ha/a;0;aus NH3-Quellen;Denuder;FUB;Ostluft
2019;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;NO2-N_gdep;1.4924754782608698;kg/ha/a;1;aus NOx-Quellen;Kurzeitbelastungskarte;Ostluft;Ostluft
