year;site;canton;x;y;masl;ecosys;cln;siteclass;emissionclass;pollutant;metric;parameter;deposition;unit;part_est;source_cat;sampling;datasource;source
2022;WIH;ZH;2693935;1261383;516;Trockenrasen;10;mittel;mittel;Ndep;Jahressumme;NO3-N_bdep;2.506739220571099;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2024;BUE;ZH;2704475;1234943;494;Hochmoor;5;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;6.902482484363584;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2024;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;NH4-N_bdep;8.154664222731014;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2024;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NO3-N_bdep;2.421365141281027;kg/ha/a;0.006645758661887768;aus NOx-Quellen;Bulk Dep PS;Ostluft;Ostluft
2025;AEG;ZH;2675521;1232695;447;Wald;6;hoch;hoch;Ndep;Jahressumme;NH4-N_bdep;4.363875875131843;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;Ostluft;Ostluft
2007;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;7.512580945290833;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;FUB;Ostluft
2009;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;7.2179274254773444;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;Ostluft;Ostluft
2010;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NH4-N_bdep;6.965442224401619;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2012;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;6.845002872584207;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;FUB;Ostluft
2012;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;5.343922658955177;kg/ha/a;0;aus NOx-Quellen;Bulk Dep PS;FUB;Ostluft
2015;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NO3-N_bdep;5.125484498614693;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2016;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;6.793161100193923;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;FUB;Ostluft
2017;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;7.502767384822486;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;FUB;Ostluft
2017;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;NH4-N_bdep;8.032744341570563;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2019;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;6.813113259174339;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;Ostluft;Ostluft
2019;OBI;ZH;2672488;1236902;383;Flachmoor;15;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;2.6117932079754964;kg/ha/a;0.0015120967741935054;aus NOx-Quellen;Bulk Dep PS;Ostluft;Ostluft
2020;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NO3-N_bdep;3.568754279738627;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2021;AEG;ZH;2675521;1232695;447;Wald;6;hoch;hoch;Ndep;Jahressumme;NO3-N_bdep;2.403169776303767;kg/ha/a;0.08333333333333337;aus NOx-Quellen;Bulk Dep PS, GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2021;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;3.1247837250839283;kg/ha/a;0;aus NOx-Quellen;Bulk Dep PS;Ostluft;Ostluft
2021;NET;ZH;2678603;1262147;409;Flachmoor;15;mittel;mittel;Ndep;Jahressumme;NH4-N_bdep;5.713520027887057;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2021;OBI;ZH;2672488;1236902;383;Flachmoor;15;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;6.190197928228263;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2022;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;7.452921840367266;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;Ostluft;Ostluft
