empfindl. Ökosystem;Überschreitung Critical Load;Anteil an Ökosystem-Gesamtfläche
Flachmoore;7.3255253;0.124815361890694
Flachmoore;7.3531055;0.125553914327917
Flachmoore;7.3651505;0.12629246676514
Flachmoore;7.3683453;0.127031019202363
Flachmoore;7.383419;0.127769571639586
Flachmoore;7.3881226;0.128508124076809
Flachmoore;7.4088;0.129246676514032
Flachmoore;7.40888;0.129985228951256
Flachmoore;7.4178467;0.130723781388479
Flachmoore;7.418297;0.131462333825702
Flachmoore;7.43021;0.132200886262925
Flachmoore;7.434763;0.132939438700148
Flachmoore;7.437174;0.133677991137371
Wald;7.455188;0.360341151385927
Flachmoore;7.4561768;0.134416543574594
Trockenwiesen/-weiden;7.475935;0.721518987341772
Flachmoore;7.484745;0.135155096011817
Flachmoore;7.4877625;0.13589364844904
Flachmoore;7.4935417;0.136632200886263
Wald;7.504278;0.362473347547974
Flachmoore;7.5049934;0.137370753323486
Flachmoore;7.5116253;0.138109305760709
Flachmoore;7.5190773;0.138847858197932
Flachmoore;7.523325;0.139586410635155
Flachmoore;7.5285435;0.140324963072378
Flachmoore;7.534502;0.141063515509601
Flachmoore;7.5422897;0.141802067946824
Flachmoore;7.544035;0.142540620384047
Wald;7.549185;0.364605543710021
Wald;7.5496597;0.366737739872068
Flachmoore;7.55221;0.14327917282127
Trockenwiesen/-weiden;7.554497;0.734177215189873
Flachmoore;7.5580864;0.144017725258493
Flachmoore;7.5588036;0.144756277695716
Wald;7.5609093;0.368869936034115
Wald;7.5747223;0.371002132196162
Flachmoore;7.5771065;0.145494830132939
Flachmoore;7.58119;0.146233382570162
Wald;7.5931835;0.373134328358209
Flachmoore;7.6061764;0.146971935007386
Trockenwiesen/-weiden;7.60795;0.746835443037975
Flachmoore;7.621954;0.147710487444609
Flachmoore;7.6258354;0.148449039881832
Flachmoore;7.6271095;0.149187592319055
Flachmoore;7.6531525;0.149926144756278
Wald;7.6542664;0.375266524520256
Flachmoore;7.6543007;0.150664697193501
Flachmoore;7.659277;0.151403249630724
Wald;7.683384;0.377398720682303
Wald;7.6889973;0.37953091684435
Wald;7.6918783;0.381663113006397
Wald;7.6919537;0.383795309168444
Flachmoore;7.7219715;0.152141802067947
Flachmoore;7.72278;0.15288035450517
Flachmoore;7.7316494;0.153618906942393
Wald;7.736416;0.38592750533049
Flachmoore;7.74139;0.154357459379616
Wald;7.808751;0.388059701492537
Flachmoore;7.8180714;0.155096011816839
Wald;7.8199396;0.390191897654584
Wald;7.8274136;0.392324093816631
Flachmoore;7.83519;0.155834564254062
Flachmoore;7.8358536;0.156573116691285
Wald;7.856222;0.394456289978678
Flachmoore;7.8629894;0.157311669128508
Flachmoore;7.8636036;0.158050221565731
Trockenwiesen/-weiden;7.88295;0.759493670886076
Trockenwiesen/-weiden;7.8889008;0.772151898734177
Wald;7.889676;0.396588486140725
Flachmoore;7.9079914;0.158788774002954
Wald;7.9216137;0.398720682302772
Flachmoore;7.927946;0.159527326440177
Wald;7.9281836;0.400852878464819
Wald;7.9466095;0.402985074626866
Wald;7.9695673;0.405117270788913
Flachmoore;8.003775;0.1602658788774
Flachmoore;8.004982;0.161004431314623
Trockenwiesen/-weiden;8.013039;0.784810126582278
Wald;8.021535;0.407249466950959
Flachmoore;8.022488;0.161742983751846
Flachmoore;8.055361;0.162481536189069
Wald;8.0678005;0.409381663113006
Flachmoore;8.070236;0.163220088626292
Wald;8.077049;0.411513859275053
Flachmoore;8.081947;0.163958641063516
Flachmoore;8.119869;0.164697193500739
Flachmoore;8.128084;0.165435745937962
