vehicle_model_year;vehicle_type;vehicle_fuel_type;NOx_emission;unit;n;standarderror;NOx_emission_threshold_g_per_kg_fuel;source
2017;passenger car;gasoline;0.7785079166463698;g/kg fuel;3961;0.048700427834173436;1;Kanton Zürich/AWEL
2017;passenger car;diesel;6.307081413386971;g/kg fuel;2680;0.15340061069468816;1.6;Kanton Zürich/AWEL
2017;light duty vehicle;gasoline;0.9203677952601341;g/kg fuel;81;0.3223133240940479;1;Kanton Zürich/AWEL
2017;light duty vehicle;diesel;5.371645278080478;g/kg fuel;589;0.40087313487097825;1.6;Kanton Zürich/AWEL
2018;passenger car;gasoline;0.5694847683555091;g/kg fuel;4301;0.05016730994363564;1;Kanton Zürich/AWEL
2018;passenger car;diesel;2.5495825745429843;g/kg fuel;3187;0.10077470527294372;1.6;Kanton Zürich/AWEL
2018;light duty vehicle;gasoline;0.4095931862585315;g/kg fuel;67;0.15778635920425574;1;Kanton Zürich/AWEL
2018;light duty vehicle;diesel;6.195855770143172;g/kg fuel;635;0.35756218701100145;1.6;Kanton Zürich/AWEL
2019;passenger car;gasoline;0.40935299370254136;g/kg fuel;3702;0.034210097323077275;1;Kanton Zürich/AWEL
2019;passenger car;diesel;1.0965825494914305;g/kg fuel;2117;0.06098038043437642;1.6;Kanton Zürich/AWEL
2019;light duty vehicle;gasoline;0.21796289733397795;g/kg fuel;117;0.10607812041418517;1;Kanton Zürich/AWEL
2019;light duty vehicle;diesel;1.5693319528692116;g/kg fuel;967;0.16834815018961483;1.6;Kanton Zürich/AWEL
2020;passenger car;gasoline;0.20723420097487164;g/kg fuel;1230;0.037325333075522354;1;Kanton Zürich/AWEL
2020;passenger car;diesel;0.34244020544528786;g/kg fuel;895;0.05586534739822434;1.6;Kanton Zürich/AWEL
2020;light duty vehicle;gasoline;NA;g/kg fuel;12;NA;1;Kanton Zürich/AWEL
2020;light duty vehicle;diesel;0.6013958067406378;g/kg fuel;499;0.09645351214705145;1.6;Kanton Zürich/AWEL
2021;passenger car;gasoline;0.16892773454316143;g/kg fuel;729;0.03589487317233794;1;Kanton Zürich/AWEL
2021;passenger car;diesel;0.44626710538247444;g/kg fuel;290;0.09141189924701865;1.6;Kanton Zürich/AWEL
2021;light duty vehicle;gasoline;NA;g/kg fuel;28;NA;1;Kanton Zürich/AWEL
2021;light duty vehicle;diesel;0.3406422499194595;g/kg fuel;315;0.0701530723284754;1.6;Kanton Zürich/AWEL
2022;passenger car;gasoline;0.1082519275954286;g/kg fuel;300;0.04563544387557958;1;Kanton Zürich/AWEL
2022;passenger car;diesel;0.2481069142858047;g/kg fuel;193;0.07610499698659981;1.6;Kanton Zürich/AWEL
2022;light duty vehicle;gasoline;NA;g/kg fuel;19;NA;1;Kanton Zürich/AWEL
2022;light duty vehicle;diesel;0.469174974775546;g/kg fuel;119;0.1839210052384069;1.6;Kanton Zürich/AWEL
2023;passenger car;gasoline;-0.018112691956481235;g/kg fuel;141;0.05492369827943997;1;Kanton Zürich/AWEL
2023;passenger car;diesel;0.22425478256502956;g/kg fuel;101;0.0884762966278104;1.6;Kanton Zürich/AWEL
2023;light duty vehicle;gasoline;NA;g/kg fuel;1;NA;1;Kanton Zürich/AWEL
2023;light duty vehicle;diesel;NA;g/kg fuel;29;NA;1.6;Kanton Zürich/AWEL
