year;geodb_oid;bfs;municipality;admin_boundary;parameter;unit;pop_weighted_mean;source
2015;3053;295;Horgen;municipality;NO2;μg/m3;21.69657881869421;OSTLUFT, BAFU, BFS
2015;3054;4;Hausen am Albis;municipality;NO2;μg/m3;16.260252582424407;OSTLUFT, BAFU, BFS
2015;3055;155;Männedorf;municipality;NO2;μg/m3;20.018681785939417;OSTLUFT, BAFU, BFS
2015;3056;118;Rüti (ZH);municipality;NO2;μg/m3;19.391537453251953;OSTLUFT, BAFU, BFS
2015;3057;10;Obfelden;municipality;NO2;μg/m3;19.187738554176157;OSTLUFT, BAFU, BFS
2015;3058;137;Oberrieden;municipality;NO2;μg/m3;21.300807242820472;OSTLUFT, BAFU, BFS
2015;3059;159;Uetikon am See;municipality;NO2;μg/m3;19.4794429059093;OSTLUFT, BAFU, BFS
2015;3060;157;Oetwil am See;municipality;NO2;μg/m3;18.929136747794576;OSTLUFT, BAFU, BFS
2015;3061;11;Ottenbach;municipality;NO2;μg/m3;19.679767997340463;OSTLUFT, BAFU, BFS
2015;3062;1;Aeugst am Albis;municipality;NO2;μg/m3;15.099412461716733;OSTLUFT, BAFU, BFS
2015;3063;113;Dürnten;municipality;NO2;μg/m3;18.746714989022365;OSTLUFT, BAFU, BFS
2015;3064;116;Grüningen;municipality;NO2;μg/m3;18.07783916982608;OSTLUFT, BAFU, BFS
2015;3065;112;Bubikon;municipality;NO2;μg/m3;18.290146089313588;OSTLUFT, BAFU, BFS
2015;3066;2;Affoltern am Albis;municipality;NO2;μg/m3;20.409127986241902;OSTLUFT, BAFU, BFS
2015;3067;136;Langnau am Albis;municipality;NO2;μg/m3;19.253154334907073;OSTLUFT, BAFU, BFS
2015;3068;141;Thalwil;municipality;NO2;μg/m3;22.67055317837505;OSTLUFT, BAFU, BFS
2015;3069;156;Meilen;municipality;NO2;μg/m3;21.170060869426166;OSTLUFT, BAFU, BFS
2015;3070;14;Wettswil am Albis;municipality;NO2;μg/m3;21.12666660455861;OSTLUFT, BAFU, BFS
2015;3071;160;Zumikon;municipality;NO2;μg/m3;19.61014708420301;OSTLUFT, BAFU, BFS
2015;3072;121;Wetzikon (ZH);municipality;NO2;μg/m3;20.976916015730744;OSTLUFT, BAFU, BFS
2015;3073;13;Stallikon;municipality;NO2;μg/m3;19.088188647815976;OSTLUFT, BAFU, BFS
2015;3074;161;Zollikon;municipality;NO2;μg/m3;20.835022247071493;OSTLUFT, BAFU, BFS
2015;2909;119;Seegräben;municipality;PM2.5;μg/m3;9.380047915771847;OSTLUFT, BAFU, BFS
2015;2910;195;Maur;municipality;PM2.5;μg/m3;9.319300497349008;OSTLUFT, BAFU, BFS
2015;2911;242;Birmensdorf (ZH);municipality;PM2.5;μg/m3;10.086074056539191;OSTLUFT, BAFU, BFS
2015;2912;111;Bäretswil;municipality;PM2.5;μg/m3;8.782032127570956;OSTLUFT, BAFU, BFS
2015;2913;0;;municipality;PM2.5;μg/m3;NA;OSTLUFT, BAFU, BFS
2015;2914;248;Uitikon;municipality;PM2.5;μg/m3;9.770688849478798;OSTLUFT, BAFU, BFS
2015;2915;114;Fischenthal;municipality;PM2.5;μg/m3;8.259862241226902;OSTLUFT, BAFU, BFS
2015;2916;194;Greifensee;municipality;PM2.5;μg/m3;9.943949425665204;OSTLUFT, BAFU, BFS
2015;2917;193;Fällanden;municipality;PM2.5;μg/m3;9.70866155406171;OSTLUFT, BAFU, BFS
2015;2918;198;Uster;municipality;PM2.5;μg/m3;9.925733362578399;OSTLUFT, BAFU, BFS
2015;2919;173;Hittnau;municipality;PM2.5;μg/m3;8.926485924629814;OSTLUFT, BAFU, BFS
2015;2920;197;Schwerzenbach;municipality;PM2.5;μg/m3;10.125284199879362;OSTLUFT, BAFU, BFS
2015;2921;250;Urdorf;municipality;PM2.5;μg/m3;10.600935919867078;OSTLUFT, BAFU, BFS
2015;2922;177;Pfäffikon;municipality;PM2.5;μg/m3;9.58116016427395;OSTLUFT, BAFU, BFS
2015;2923;297;Bauma;municipality;PM2.5;μg/m3;8.71105771358634;OSTLUFT, BAFU, BFS
2015;2924;247;Schlieren;municipality;PM2.5;μg/m3;10.641916470947557;OSTLUFT, BAFU, BFS
2015;2925;0;;municipality;PM2.5;μg/m3;NA;OSTLUFT, BAFU, BFS
2015;2926;172;Fehraltorf;municipality;PM2.5;μg/m3;9.668509825745895;OSTLUFT, BAFU, BFS
2015;2927;191;Dübendorf;municipality;PM2.5;μg/m3;10.467828589717673;OSTLUFT, BAFU, BFS
2015;2928;0;NA;municipality;PM2.5;μg/m3;NA;OSTLUFT, BAFU, BFS
2015;2929;199;Volketswil;municipality;PM2.5;μg/m3;10.027930823255572;OSTLUFT, BAFU, BFS
2015;2930;249;Unterengstringen;municipality;PM2.5;μg/m3;10.7515666912068;OSTLUFT, BAFU, BFS
2015;2931;245;Oberengstringen;municipality;PM2.5;μg/m3;10.594649997981877;OSTLUFT, BAFU, BFS
2015;2932;243;Dietikon;municipality;PM2.5;μg/m3;10.804080536630908;OSTLUFT, BAFU, BFS
2015;2933;178;Russikon;municipality;PM2.5;μg/m3;9.088856167263454;OSTLUFT, BAFU, BFS
2015;2934;244;Geroldswil;municipality;PM2.5;μg/m3;11.149199669408834;OSTLUFT, BAFU, BFS
2015;2935;200;Wangen-Brüttisellen;municipality;PM2.5;μg/m3;11.139837123844243;OSTLUFT, BAFU, BFS
2015;2936;251;Weiningen (ZH);municipality;PM2.5;μg/m3;10.715654472221603;OSTLUFT, BAFU, BFS
2015;2937;261;Zürich;municipality;PM2.5;μg/m3;10.668519997510144;OSTLUFT, BAFU, BFS
2015;2938;181;Wila;municipality;PM2.5;μg/m3;8.97211961697355;OSTLUFT, BAFU, BFS
2015;2939;246;Oetwil an der Limmat;municipality;PM2.5;μg/m3;10.533603533122431;OSTLUFT, BAFU, BFS
2015;2940;69;Wallisellen;municipality;PM2.5;μg/m3;11.29953647244461;OSTLUFT, BAFU, BFS
2015;2941;54;Dietlikon;municipality;PM2.5;μg/m3;10.858046620930303;OSTLUFT, BAFU, BFS
2015;2942;66;Opfikon;municipality;PM2.5;μg/m3;11.130429875627298;OSTLUFT, BAFU, BFS
2015;2943;182;Wildberg;municipality;PM2.5;μg/m3;8.809592902704294;OSTLUFT, BAFU, BFS
2015;2944;84;Dällikon;municipality;PM2.5;μg/m3;10.021461230785349;OSTLUFT, BAFU, BFS
2015;2945;87;Hüttikon;municipality;PM2.5;μg/m3;9.805785933181017;OSTLUFT, BAFU, BFS
2015;2946;85;Dänikon;municipality;PM2.5;μg/m3;9.764029936934666;OSTLUFT, BAFU, BFS
2015;2947;180;Weisslingen;municipality;PM2.5;μg/m3;9.060270689294693;OSTLUFT, BAFU, BFS
2015;2948;52;Bassersdorf;municipality;PM2.5;μg/m3;10.294408652370333;OSTLUFT, BAFU, BFS
2015;2949;96;Regensdorf;municipality;PM2.5;μg/m3;10.345533523679423;OSTLUFT, BAFU, BFS
2015;2950;228;Turbenthal;municipality;PM2.5;μg/m3;8.982807367645526;OSTLUFT, BAFU, BFS
2015;2951;83;Buchs (ZH);municipality;PM2.5;μg/m3;10.115620401371874;OSTLUFT, BAFU, BFS
2015;2952;97;Rümlang;municipality;PM2.5;μg/m3;10.263356596748968;OSTLUFT, BAFU, BFS
2015;2953;176;Lindau;municipality;PM2.5;μg/m3;10.2553741785332;OSTLUFT, BAFU, BFS
2015;2954;231;Zell (ZH);municipality;PM2.5;μg/m3;9.225438519684891;OSTLUFT, BAFU, BFS
2015;2955;296;Illnau-Effretikon;municipality;PM2.5;μg/m3;9.69123955629915;OSTLUFT, BAFU, BFS
2015;2956;64;Nürensdorf;municipality;PM2.5;μg/m3;9.722102746027442;OSTLUFT, BAFU, BFS
2015;2957;94;Otelfingen;municipality;PM2.5;μg/m3;9.945242079078957;OSTLUFT, BAFU, BFS
2015;2958;82;Boppelsen;municipality;PM2.5;μg/m3;9.39084480871422;OSTLUFT, BAFU, BFS
2015;2959;62;Kloten;municipality;PM2.5;μg/m3;10.56345509943989;OSTLUFT, BAFU, BFS
2015;2960;95;Regensberg;municipality;PM2.5;μg/m3;9.291635172426208;OSTLUFT, BAFU, BFS
2015;2961;86;Dielsdorf;municipality;PM2.5;μg/m3;9.950937467838871;OSTLUFT, BAFU, BFS
2015;2962;213;Brütten;municipality;PM2.5;μg/m3;9.292251685537943;OSTLUFT, BAFU, BFS
2015;2963;226;Schlatt (ZH);municipality;PM2.5;μg/m3;8.729915999390585;OSTLUFT, BAFU, BFS
2015;2964;90;Niederhasli;municipality;PM2.5;μg/m3;9.9405791222177875;OSTLUFT, BAFU, BFS
2015;2965;63;Lufingen;municipality;PM2.5;μg/m3;9.63458463390365;OSTLUFT, BAFU, BFS
2015;2966;92;Oberglatt;municipality;PM2.5;μg/m3;9.968066297939655;OSTLUFT, BAFU, BFS
2015;2967;89;Niederglatt;municipality;PM2.5;μg/m3;9.884539669600828;OSTLUFT, BAFU, BFS
2015;2968;65;Oberembrach;municipality;PM2.5;μg/m3;9.454609795804425;OSTLUFT, BAFU, BFS
