year;site;site_long;source;parameter;interval;unit;value
2014;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;NO2;y1;µg/m3;49.1
2015;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;NO2;y1;µg/m3;46.73800673
2016;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;NO2;y1;µg/m3;49.25
2017;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;NO2;y1;µg/m3;45.92
2003;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_max_98%_m1;y1;µg/m3;148.0712901
2004;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_max_98%_m1;y1;µg/m3;NA
2005;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_max_98%_m1;y1;µg/m3;118.9119288
2006;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_max_98%_m1;y1;µg/m3;NA
2007;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_max_98%_m1;y1;µg/m3;118.0009718
2008;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_max_98%_m1;y1;µg/m3;NA
2009;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_max_98%_m1;y1;µg/m3;119.2850335
2010;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_max_98%_m1;y1;µg/m3;NA
2011;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_max_98%_m1;y1;µg/m3;NA
2012;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_max_98%_m1;y1;µg/m3;NA
2013;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_max_98%_m1;y1;µg/m3;NA
2014;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_max_98%_m1;y1;µg/m3;NA
2015;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_max_98%_m1;y1;µg/m3;142.4056459
2003;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_nb_h1>120;y1;1;161
2004;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_nb_h1>120;y1;1;NA
2005;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_nb_h1>120;y1;1;40
2006;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_nb_h1>120;y1;1;NA
2007;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_nb_h1>120;y1;1;22
2008;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_nb_h1>120;y1;1;NA
2009;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_nb_h1>120;y1;1;14
2010;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_nb_h1>120;y1;1;NA
2011;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_nb_h1>120;y1;1;NA
2012;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_nb_h1>120;y1;1;NA
2013;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_nb_h1>120;y1;1;NA
2014;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_nb_h1>120;y1;1;NA
2015;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_nb_h1>120;y1;1;114
2003;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;79.03425436536408
2004;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;NA
2005;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;64.46442865466577
2006;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;NA
2007;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;65.27680181920924
2008;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;NA
2009;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;67.20234492243885
2010;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;NA
2011;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;NA
2012;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;NA
2013;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;NA
2014;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;NA
2015;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;77.48155225424385
2003;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;PM10;y1;µg/m3;34.30402144
2004;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;PM10;y1;µg/m3;NA
2005;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;PM10;y1;µg/m3;28.73150256
2006;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;PM10;y1;µg/m3;NA
2007;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;PM10;y1;µg/m3;25.83439539
2008;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;PM10;y1;µg/m3;NA
2009;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;PM10;y1;µg/m3;25.13420653
2010;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;PM10;y1;µg/m3;NA
2011;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;PM10;y1;µg/m3;NA
2012;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;PM10;y1;µg/m3;NA
2013;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;PM10;y1;µg/m3;NA
2014;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;PM10;y1;µg/m3;NA
2015;Zch_Schwamendingen;Zürich - Schwamendingen;OSTLUFT;PM10;y1;µg/m3;19.98177981
1991;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;NO2;y1;µg/m3;53.70485602
1992;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;NO2;y1;µg/m3;49.40338861
1993;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;NO2;y1;µg/m3;45.74210809
1994;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;NO2;y1;µg/m3;45.59002549
1995;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;NO2;y1;µg/m3;43.49169956
1996;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;NO2;y1;µg/m3;42.58185766
1997;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;NO2;y1;µg/m3;41.61936321
1998;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;NO2;y1;µg/m3;41.29215565
1999;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;NO2;y1;µg/m3;41.22502813
2000;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;NO2;y1;µg/m3;39.34426509
2001;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;NO2;y1;µg/m3;37.36478278
2002;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;NO2;y1;µg/m3;36.56632725
2003;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;NO2;y1;µg/m3;42.74772422
2004;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;NO2;y1;µg/m3;38.60198206
2005;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;NO2;y1;µg/m3;37.88206803
2006;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;NO2;y1;µg/m3;38.79972003
2007;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;NO2;y1;µg/m3;35.35327207
2008;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;NO2;y1;µg/m3;35.62230735
2009;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;NO2;y1;µg/m3;36.94428049
2010;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;NO2;y1;µg/m3;36.13456511
2011;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;NO2;y1;µg/m3;35.28103449
2012;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;NO2;y1;µg/m3;33.9369502
2013;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;NO2;y1;µg/m3;33.77838439
2014;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;NO2;y1;µg/m3;33.00628617
2015;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;NO2;y1;µg/m3;33.49705143
2016;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;NO2;y1;µg/m3;31.39041169
2017;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;NO2;y1;µg/m3;30.41906607
2018;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;NO2;y1;µg/m3;28.47123861
2019;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;NO2;y1;µg/m3;26.26300209
2020;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;NO2;y1;µg/m3;22.20213607
2021;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;NO2;y1;µg/m3;21.97968138
2022;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;NO2;y1;µg/m3;21.42584942
1991;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;146.4988304
1992;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;165.306087
1993;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;146.7565786
1994;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;177.5948897
1995;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;168.1884598
1996;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;146.5004183
1997;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;156.464647
1998;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;168.298189
1999;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;142.3037398
2000;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;154.1456642
2001;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;149.8943211
2002;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;155.8868964
2003;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;179.5260488
2004;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;152.3411427
2005;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;149.0039474
2006;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;167.1043885
2007;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;144.0560694
2008;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;134.5423937
2009;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;132.6563208
2010;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;157.0232096
2011;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;138.8702666
2012;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;124.4273452
2013;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;143.9579154
2014;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;129.4905752
2015;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;152.1680581
2016;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;124.7899165
2017;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;134.1742763
2018;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;156.5192327
2019;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;145.5679601
2020;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;132.3869958
2021;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;128.3704625
2022;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;136.3498636
1991;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_nb_h1>120;y1;1;183
1992;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_nb_h1>120;y1;1;230
1993;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_nb_h1>120;y1;1;211
1994;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_nb_h1>120;y1;1;339
1995;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_nb_h1>120;y1;1;236
1996;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_nb_h1>120;y1;1;197
1997;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_nb_h1>120;y1;1;197
1998;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_nb_h1>120;y1;1;223
1999;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_nb_h1>120;y1;1;125
2000;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_nb_h1>120;y1;1;179
2001;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_nb_h1>120;y1;1;199
2002;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_nb_h1>120;y1;1;192
2003;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_nb_h1>120;y1;1;475
2004;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_nb_h1>120;y1;1;171
2005;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_nb_h1>120;y1;1;182
2006;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_nb_h1>120;y1;1;290
2007;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_nb_h1>120;y1;1;182
2008;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_nb_h1>120;y1;1;114
2009;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_nb_h1>120;y1;1;51
2010;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_nb_h1>120;y1;1;185
2011;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_nb_h1>120;y1;1;114
2012;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_nb_h1>120;y1;1;91
2013;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_nb_h1>120;y1;1;183
2014;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_nb_h1>120;y1;1;63
2015;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_nb_h1>120;y1;1;236
2016;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_nb_h1>120;y1;1;87
2017;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_nb_h1>120;y1;1;81
2018;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_nb_h1>120;y1;1;312
2019;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_nb_h1>120;y1;1;170
2020;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_nb_h1>120;y1;1;124
2021;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_nb_h1>120;y1;1;64
2022;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_nb_h1>120;y1;1;138
1990;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;63.44227064697063
1991;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;81.44208906019945
1992;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;80.58918618694905
1993;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;81.16163050621195
1994;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;86.85232707454212
1995;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;85.19443746044905
1996;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;80.19355412811753
1997;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;83.80573047883288
1998;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;87.72845996154551
1999;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;81.69762352032855
2000;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;82.946904673036
2001;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;82.25127720704347
2002;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;83.62994814503328
2003;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;100.83115102804712
2004;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;85.15688886545423
2005;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;84.7807280907269
2006;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;91.46030773360664
2007;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;86.66611197357065
2008;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;83.88496040840984
2009;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;81.86791957400679
2010;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;82.21317182465262
2011;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;84.0736854495765
2012;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;80.05981523262636
2013;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;82.40744702652255
2014;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;79.15997406833357
2015;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;89.96376850718579
2016;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;80.8596431225683
2017;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;82.26693008137431
2018;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;97.15281929594946
2019;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;88.07749323470381
2020;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;86.54457134878396
2021;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;81.23028726455357
2022;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;89.71989148967896
1998;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;PM10;y1;µg/m3;30.77835866
1999;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;PM10;y1;µg/m3;NA
2000;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;PM10;y1;µg/m3;NA
2001;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;PM10;y1;µg/m3;25.52014729
2002;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;PM10;y1;µg/m3;27.84660742
2003;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;PM10;y1;µg/m3;31.93777822
2004;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;PM10;y1;µg/m3;25.52305538
2005;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;PM10;y1;µg/m3;26.26171788
2006;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;PM10;y1;µg/m3;29.58874344
2007;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;PM10;y1;µg/m3;24.34036454
2008;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;PM10;y1;µg/m3;22.53532637
2009;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;PM10;y1;µg/m3;23.94697087
2010;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;PM10;y1;µg/m3;22.43272887
2011;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;PM10;y1;µg/m3;22.08200604
2012;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;PM10;y1;µg/m3;19.69203447
2013;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;PM10;y1;µg/m3;22.33194381
2014;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;PM10;y1;µg/m3;16.97531208
2015;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;PM10;y1;µg/m3;17.78678386
2016;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;PM10;y1;µg/m3;16.20116381
2017;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;PM10;y1;µg/m3;15.87553052
2018;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;PM10;y1;µg/m3;17.93817019
2019;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;PM10;y1;µg/m3;15.09649347
2020;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;PM10;y1;µg/m3;13.95187017
2021;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;PM10;y1;µg/m3;14.39263922
2017;Zch_Stampfenbachstrasse;Zürich - Stampfenbachstrasse;OSTLUFT;PM2.5;y1;µg/m3;10.44235078
